dataset,graph,solver,demand,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,achieved_congestion,offline_opt_value,status
Backbone,Backbone/ChinaTelecom.lgf,random_mst,gaussian,132,10451,19,10432,73,0,26322.9,15525.6,OK
Backbone,Backbone/ChinaTelecom.lgf,lp,gaussian,132,758855,NaN,NaN,NaN,NaN,29745.4,17606,OK
Backbone,Backbone/Cudi.lgf,electrical,gaussian,104,48,46,2,10,4,45386.1,3333.01,OK
Backbone,Backbone/Cudi.lgf,ckr,gaussian,104,988,18,970,28,0,41071.1,3092.86,OK
Backbone,Backbone/Cudi.lgf,frt,gaussian,104,74608,74207,401,15,4946.53,43818.7,3243.71,OK
Backbone,Backbone/Cudi.lgf,random_mst,gaussian,104,905,5,900,25,0,35916.7,3301.73,OK
Backbone,Backbone/Cudi.lgf,lp,gaussian,104,621991,NaN,NaN,NaN,NaN,43221.3,3080.95,OK
Backbone,Backbone/Deltacom.lgf,electrical,gaussian,322,483,476,7,15,31.3333,132315,4149.54,OK
Backbone,Backbone/Deltacom.lgf,ckr,gaussian,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SEGFAULT
Backbone,Backbone/Deltacom.lgf,frt,gaussian,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
Backbone,Backbone/Deltacom.lgf,random_mst,gaussian,322,NaN,35,NaN,54,0.0185185,24216.9,4273.19,OK
Backbone,Backbone/Deltacom.lgf,lp,gaussian,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
Backbone,Backbone/Digex.lgf,electrical,gaussian,70,20,19,1,9,1.44444,113099,2098.28,OK
Backbone,Backbone/Digex.lgf,ckr,gaussian,70,840,11,829,28,0,43753.9,1526.46,OK
Backbone,Backbone/Digex.lgf,frt,gaussian,70,18843,18592,251,11,1689.64,37241.6,1918.8,OK
Backbone,Backbone/Digex.lgf,random_mst,gaussian,70,145,0,145,8,0,54523.2,1852.06,OK
Backbone,Backbone/Digex.lgf,lp,gaussian,70,98829,NaN,NaN,NaN,NaN,64743.8,2130.91,OK
Backbone,Backbone/GRNet.lgf,electrical,gaussian,82,28,26,2,10,2,64947.6,11264.4,OK
